"CountryName"	"CountryCode"	"Adolescent fertility rate (births per 1,000 women ages 15-19)"	"Age dependency ratio (% of working-age population)"	"Age dependency ratio, old (% of working-age population)"	"Age dependency ratio, young (% of working-age population)"	"Business extent of disclosure index (0=less disclosure to 10=more disclosure)"	"Cost of business start-up procedures (% of GNI per capita)"	"Cost to export (US$ per container)"	"Cost to import (US$ per container)"	"Depth of credit information index (0=low to 8=high)"	"Diabetes prevalence (% of population ages 20 to 79)"	"Distance to frontier score (0=lowest performance to 100=frontier)"	"Documents to export (number)"	"Documents to import (number)"	"Ease of doing business index (1=most business-friendly regulations)"	"Fixed broadband subscriptions"	"Fixed telephone subscriptions"	"Fixed telephone subscriptions (per 100 people)"	"Foreign direct investment, net inflows (% of GDP)"	"Foreign direct investment, net inflows (BoP, current US$)"	"GDP at market prices (current US$)"	"GDP growth (annual %)"	"GDP per capita (current US$)"	"GDP per capita growth (annual %)"	"Immunization, DPT (% of children ages 12-23 months)"	"Immunization, measles (% of children ages 12-23 months)"	"Improved sanitation facilities (% of population with access)"	"Improved sanitation facilities, rural (% of rural population with access)"	"Improved sanitation facilities, urban (% of urban population with access)"	"Improved water source (% of population with access)"	"Improved water source, rural (% of rural population with access)"	"Improved water source, urban (% of urban population with access)"	"Incidence of tuberculosis (per 100,000 people)"	"Internet users (per 100 people)"	"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)"	"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)"	"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)"	"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)"	"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)"	"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)"	"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"	"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)"	"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)"	"Labor force, female (% of total labor force)"	"Labor force, total"	"Land area (sq. km)"	"Lifetime risk of maternal death (%)"	"Lifetime risk of maternal death (1 in: rate varies by country)"	"Maternal mortality ratio (modeled estimate, per 100,000 live births)"	"Merchandise exports (current US$)"	"Merchandise exports by the reporting economy (current US$)"	"Merchandise exports by the reporting economy, residual (% of total merchandise exports)"	"Merchandise exports to high-income economies (% of total merchandise exports)"	"Merchandise imports (current US$)"	"Merchandise imports by the reporting economy (current US$)"	"Merchandise imports by the reporting economy, residual (% of total merchandise imports)"	"Merchandise imports from high-income economies (% of total merchandise imports)"	"Mobile cellular subscriptions"	"Mobile cellular subscriptions (per 100 people)"	"Mortality rate, infant (per 1,000 live births)"	"Mortality rate, neonatal (per 1,000 live births)"	"Mortality rate, under-5 (per 1,000)"	"Number of maternal deaths"	"Population ages 65 and above (% of total)"	"Population density (people per sq. km of land area)"	"Population growth (annual %)"	"Population, ages 0-14 (% of total)"	"Population, ages 15-64 (% of total)"	"Population, female (% of total)"	"Population, total"	"Private credit bureau coverage (% of adults)"	"Procedures to build a warehouse (number)"	"Procedures to register property (number)"	"Proportion of seats held by women in national parliaments (%)"	"Public credit registry coverage (% of adults)"	"Ratio of female to male labor force participation rate (%) (modeled ILO estimate)"	"Refugee population by country or territory of asylum"	"Refugee population by country or territory of origin"	"Rural population"	"Rural population (% of total population)"	"Rural population growth (annual %)"	"Secure Internet servers"	"Secure Internet servers (per 1 million people)"	"Start-up procedures to register a business (number)"	"Strength of legal rights index (0=weak to 12=strong)"	"Surface area (sq. km)"	"Tax payments (number)"	"Time required to build a warehouse (days)"	"Time required to enforce a contract (days)"	"Time required to get electricity (days)"	"Time required to register property (days)"	"Time required to start a business (days)"	"Time to export (days)"	"Time to import (days)"	"Time to prepare and pay taxes (hours)"	"Total tax rate (% of commercial profits)"	"Tuberculosis case detection rate (%, all forms)"	"Urban population"	"Urban population (% of total)"	"Urban population growth (annual %)"
"Afghanistan"	"AFG"	76.7336	89.7737769801677	4.62039281529307	85.1533841648746	1	15.1	5045	5680	0	8.07	40.65	10	10	175	1500	101931	0.325860971995413	0.243315110214091	48756005.3	20038215159.3873	1.31253090783336	633.56924695192	-1.71461102308866	75	66	31.8	27	45.1	55.2	47	78.2	189	6.39	13.3999996185303	60.7999992370605	37.5999984741211	16.3999996185303	15.8999996185303	80.8000030517578	79.3000030517578	48.9000015258789	47.7999992370605	16.0514394962357	8334374	652860	2.15319131812495	46	425	5.35e+08	658401430.6	-1.55927638952624e-08	23.3344593966727	7.8e+09	8039346601	7.10705255577188e-09	33.7235128608378	23423741	74.8828424132874	68.1	36.1	93.9	4600	2.43468454325801	48.4445455380939	3.03347255254667	44.8709961512615	52.6943193054805	48.4580889811546	31627506	0	11	9	27.7	0	20.0504401092553	280267	2593368	23315165	73.718	2.4774933646149	32	1.0117775331384	3	9	652860	20	353	1642	114	250	7	86	91	275	36.3	53	8312341	26.282	4.60963006738531
"Albania"	"ALB"	21.4896	44.9121357765095	17.4796735756483	27.4324622008611	7	10.1	745	730	6	2.57	66.77	7	8	62	209400	247070	7.75629408180352	8.69986789310139	1149384240.80512	13211513725.5881	2.16999999999989	4564.39033869288	2.27204733846369	98	98	93.2	90.2	95.5	95.1	95.2	94.9	19	60.1	30.8999996185303	42.2999992370605	36.7000007629395	51.7000007629395	44.7999992370605	74.1999969482422	65.599998474121	63	55.0999984741211	41.266475010886	1292943	27400	0.0528783697299301	1900	29	2429537453.76278	2329404376	7.81566797166101	68.6383221494957	5227332666.82342	5222514027	1.14299997420225	70.598928936403	3359654	105.469965746985	12.9	6.5	14.4	11	12.0622519618116	105.637773722628	-0.0998300968586222	18.9304268021744	69.007321236014	50.2597523044106	2894475	0	19	6	20	16.7	68.2926833523234	104	10140	1261731	43.591	-2.42623908809272	69	23.838519938849	6	7	28750	34	228	525	177	22	5.5	19	18	357	31.4	75	1632744	56.409	1.73576171248059
"Algeria"	"DZA"	10.7914	51.5366314692964	8.79434638624392	42.7422850830525	4	11	1270	1330	0	7.29	45.4	8	9	161	1599692	3092558	7.74515290874062	0.704709697478489	1504685495.69469	213518488688.12	3.80000000983483	5484.0668056148	1.80528099891355	95	95	87.4	81.5	89.9	84	81.9	84.9	78	18.09	9.80000019073486	47.4000015258789	29	16.3999996185303	15.3999996185303	76.5	72.5	46.7999992370605	44.2000007629395	17.3761564927251	12355028	2381740	0.430674101847726	230	141	6.2956e+10	53308652466	-1.82810892515735e-09	80.0518203849195	5.833e+10	60294770575	0.0627828974295664	71.2287043387535	37258000	93.3107502183817	22	15.6	25.6	1300	5.80344587376273	16.3470126882027	1.94039918384128	28.2059094679775	65.9906446582597	49.6776392784836	38934334	0	18	10	31.6	2	21.2413787841797	94128	3523	11630075	29.871	-0.110668893745777	77	1.97768889535904	13	2	2381740	27	205	630	180	55	22	17	26	385	72.7	74	27304259	70.129	2.82697811328839
"Argentina"	"ARG"	63.8512	56.6303447020729	16.9301484113527	39.7001962907202	7	15.1	1770	2320	8	5.65	56.82	6	8	117	6140900	9439138	22.5799817597369	1.12622903288652	6055282710.78072	537659972702.092	0.45360547903708	12509.5311180615	-0.578794257515213	94	95	96.1	98.3	95.9	98.9	98.7	98.9	24	64.7	31.3999996185303	50.5	41.0999984741211	55.4000015258789	47.5999984741211	81.9000015258789	75.099998474121	68.5	60.9000015258789	40.4313595423156	19540451	2736690	0.130655156412624	770	54	71935200000	69588619445	2.59808954063134	38.3192084094647	65249200000	66464610193	1.08239684621481	49.3045755683129	66356509	158.735761979517	11.5	6.5	12.9	400	10.8089836893072	15.7051131110941	1.03305555285726	25.3464271985317	63.8445891121611	51.0732566797424	42980026	100	21	7	36.6	41.2	63.382156379835	3498	318	3608603	8.396	-0.761131311665493	2266	52.7221644770527	14	2	2780400	9	341	590	92	51.5	25	12	30	405	137.4	89	39371423	91.604	1.19912436653272
"Armenia"	"ARM"	23.5084	41.3293303044208	14.9520746045238	26.3772556998969	5	1	1885	2175	8	2.58	72.68	5	8	38	272542	564476	18.9168194263386	3.47242981118267	404344951.14452	11644438422.9844	3.49999999999989	3873.53356580682	3.01929708191918	93	97	89.5	78.2	96.2	100	100	100	45	46.3	30.6000003814697	42.4000015258789	37.0999984741211	58.7999992370605	54.5	76.4000015258789	73.099998474121	67.8000030517578	63.7999992370605	46.1778456137967	1559971	28470	0.044836440084129	2200	26	1519300000	1519286858	1.19063710087065	57.8187749321004	4401600000	4401599931	0.161421485627518	63.5413897865222	3459137	115.923210198426	13.2	7.7	14.7	10	10.5795977185467	105.590235335441	0.465529171376968	18.6636812352261	70.7567210462272	52.7845213518669	3006154	65.8	20	3	10.7	23.5	74.5554051130304	3190	11850	1117929	37.188	0.904854254548831	123	40.9160675068543	2	5	29740	10	84	570	180	7	3	16	18	313	20.1	98	1888225	62.812	0.206332222369208
"Australia"	"AUS"	14.405	50.2311146083644	22.1204397585684	28.110674849796	8	0.7	1200	1220	7	4.08	80.09	5	7	12	6086000	9190000	38.8909618039549	3.18514047121698	46333457427.7064	1454675479665.84	2.4998512224341	61925.4960621856	0.907780385835906	92	93	100	100	100	100	100	100	6.4	84.56	67.099998474121	68.6999969482422	67.9000015258789	70.6999969482422	58.7000007629395	82.8000030517578	71.6999969482422	76.6999969482422	65.099998474121	45.3888263212935	12431000	7682300	0.0118280613597937	8500	6	240228511864.362	2.40639e+11	3.0095321821895	47.959503886941	2.376e+11	2.50538e+11	3.17288290074919	55.7082047317241	31010000	131.230546848819	3.2	2.3	3.9	19	14.7242740805711	3.05777384377075	1.56543128326783	18.711620303024	66.5641056164049	50.0216130035818	23490736	100	10	5	26	0	81.8689027355371	35582	25	2516093	10.711	0.303708660620334	31679	1348.57417834843	3	11	7741220	11	112	395	75	4.5	2.5	9	8	105	47.4	88	20974643	89.289	1.71786099675953
"Austria"	"AUT"	7.379	48.978845143743	27.7057937273649	21.2730514163781	5	0.3	1150	1215	7	6.29	78.36	3	4	20	2348600	3266700	38.3126394414356	1.87739625010811	8202110358.23797	436887543466.95	0.353471065680438	51190.8082481007	-0.294626356489161	83	76	100	100	100	100	100	100	7.8	81	55.7000007629395	64.8000030517578	60.2999992370605	70.599998474121	54.7000007629395	81.5	67.6999969482422	76	61	46.0049817843984	4462658	82531	0.00546681616259022	18300	4	177250064200	1.71076e+11	0.076298604129159	88.2716858004629	181645805000	1.79122e+11	0.00622279786960842	87.6519298020344	12952605	151.911251474679	3	2.2	3.7	3	18.5971306984829	103.409530964123	0.647909059253162	14.2792414531269	67.1236278483902	50.9550170507728	8534492	53.2	11	3	32.2	2	80.7976414013114	55598	10	2908640	34.081	0.54524303461327	10819	1267.67943540166	8	5	83879	12	223	397	23	20.5	22	10	9	166	51.7	85	5625852	65.919	0.701030117301697
"Azerbaijan"	"AZE"	58.5604	38.1191638031292	7.68262645023831	30.4365373528909	7	3.1	3460	3450	6	2.56	66.65	9	11	63	1887070	1795448	18.8698825324988	5.89173296358969	4430466000	75198010965.1919	2	7884.19023556968	0.705758745994771	94	98	87.9	84.4	90.7	86.2	76.5	94.3	77	61	42.0999984741211	28.6000003814697	35.2000007629395	68.4000015258789	63.0999984741211	74.099998474121	70.3000030517578	71.1999969482422	66.599998474121	48.6302180319256	4952394	82659	0.0644051715724466	1600	26	2.94e+10	21828608900	0.300582141081835	70.8940673722914	9e+09	9187608800	0.0549968997373941	61.6195837593782	10552520	110.905363353238	28.9	18.9	32.9	50	5.56231871987924	115.387592397682	1.2769828044979	22.0364351040663	72.4012461760545	50.246199834908	9537823	0	24	3	15.6	28.7	89.758173164892	1299	10521	4353539	45.645	0.719863327512507	129	13.5250989665042	3	2	86600	7	175	277	87	8.5	5	27	25	195	39.8	78	5184284	54.355	1.74723742614178
"Bahamas, The"	"BHS"	30.526	40.9935144764835	11.2455002539734	29.7480142225101	2	10.2	1005	1770	0	12.84	57.77	5	5	108	13800	137700	35.9933188872131	3.13018669091123	266394538.33	8510500000	1.02278610479254	22217.4941392075	-0.352037768510655	96	92	92	92	92	98.4	98.4	98.4	12	76.92	55.2999992370605	61.5999984741211	58.5	76.599998474121	69.3000030517578	84.3000030517578	79.3000030517578	80.4000015258789	74.099998474121	48.300774709205	223955	10010	0.156838153370466	640	83	8.7e+08	3316463977	3.02164613546197	29.0915787579082	3.22e+09	12161087910	6.0208665880325	71.198400650421	273300	71.437720057192	10.2	7.1	12.4	5	7.97589895941564	38.2671328671329	1.37024992020178	21.098852903246	70.9252481373383	51.0565090039525	383054	0	16	7	13.2	0	87.3896600060997	13	215	65881	17.199	0.968534266605351	98	255.838602390264	7	6	13880	19	180	427	67	122	23.5	19	13	58	41.1	110	317173	82.801	1.45389433617439
"Bangladesh"	"BGD"	83.49	53.6859041119448	7.61638788038049	46.0695162315643	6	16.8	1281	1515	0	6.89	42.71	6	9	172	1893171	1086468	0.685414412245035	1.44426237037311	2496935632.98207	172886567164.179	6.06109305375391	1086.80707853522	4.78090004537266	95	89	59.6	60.8	57.2	86.2	86.1	86.3	227	9.6	50.5999984741211	66.1999969482422	58.5	60.5999984741211	57.5999984741211	86.599998474121	84	73.599998474121	70.9000015258789	40.413038880872	78976778	130170	0.458409570658519	220	188	30405190000	28433794794	17.0039569437578	73.4416464468971	4.217e+10	41635060882	8.1252354457943	37.6432410460084	120350497	75.924891634777	32.1	24.2	39.5	5900	4.95581421366577	1222.07507874318	1.21437738484915	29.9764096764575	65.0677761098767	49.5078603598737	159077513	0	13.4	8	19.8	0.9	68.5714267549061	32472	10865	105761094	66.484	0.0732683236553304	136	0.854929131309716	9	6	148460	21	269	1442	428.9	244	19.5	28.3	33.6	302	32.5	53	53316419	33.516	3.51721498276979
